Number,Qualification Score,Quarterfinals Score,Semifinals Score,Finals Score
frc1538,116.49,142.67,83.44,95.83
frc399,102.34,147.33,56.73,34.40
frc3476,99.35,147.33,146.39,146.06
frc5627,84.70,0.00,0.00,0.00
frc3255,81.03,109.00,98.50,43.00
frc4498,79.23,14.33,0.00,0.00
frc1572,78.66,87.50,78.00,41.67
frc2102,77.00,128.00,120.83,62.50
frc1266,72.44,100.00,64.83,0.00
frc4486,71.89,55.33,71.89,52.00
frc1622,70.93,34.13,0.00,0.00
frc2339,70.63,85.50,48.56,57.33
frc5199,68.79,23.25,0.00,0.00
frc841,66.62,113.06,119.44,0.00
frc5137,66.35,113.50,70.00,0.00
frc2658,64.25,0.00,0.00,0.00
frc5124,63.41,84.67,118.67,66.33
frc3965,62.09,88.50,0.00,0.00
frc4160,59.14,20.50,0.00,0.00
frc702,58.84,0.00,0.00,0.00
frc2029,58.65,33.50,0.00,0.00
frc2984,58.03,26.25,0.00,0.00
frc3704,56.80,0.00,0.00,0.00
frc5768,56.00,0.00,0.00,0.00
frc812,55.81,0.00,0.00,0.00
frc3749,55.70,0.00,0.00,0.00
frc3128,54.96,96.25,39.67,0.00
frc5765,54.90,0.00,0.00,0.00
frc3453,54.70,0.00,0.00,0.00
frc3021,54.57,59.83,21.67,0.00
frc4078,53.70,0.00,0.00,0.00
frc4984,53.61,26.25,0.00,0.00
frc5430,53.35,0.00,0.00,0.00
frc4470,53.14,26.25,0.00,0.00
frc5772,52.30,0.00,0.00,0.00
frc2543,49.90,43.00,45.00,0.00
frc4139,48.30,67.00,0.00,0.00
frc4583,48.10,0.00,0.00,0.00
frc2485,47.39,103.75,64.83,0.00
frc4616,46.09,0.00,0.00,0.00
frc5477,44.50,0.00,0.00,0.00
frc3341,43.40,0.00,0.00,0.00
frc2827,43.20,0.00,0.00,0.00
frc5089,42.53,0.00,0.00,0.00
frc1772,41.90,105.50,0.00,0.00
frc3952,40.70,0.00,0.00,0.00
frc3470,40.18,0.00,0.00,0.00
frc5209,39.10,0.00,0.00,0.00
frc5025,38.78,0.00,0.00,0.00
frc3967,37.50,0.00,0.00,0.00
frc5474,36.20,0.00,0.00,0.00
frc5514,35.80,0.00,0.00,0.00
frc2496,33.63,64.17,26.44,0.00
frc4014,31.80,0.00,0.00,0.00
frc4738,30.70,0.00,0.00,0.00
frc4919,28.20,0.00,0.00,0.00
frc3491,25.80,0.00,0.00,0.00
frc3647,20.05,0.00,0.00,0.00
frc5770,0.00,0.00,0.00,0.00